Datos del archivo:

Nota 1: 3
Nota 2: 18
Nota 3: 12
Nota 4: 16
Nota 5: 5
Nota 6: 9
Nota 7: 17
Nota 8: 14
Nota 9: 6
Nota 10: 2
Nota 11: 5
Nota 12: 4
Nota 13: 5
Nota 14: 4
Nota 15: 16
Nota 16: 16
Nota 17: 10
Nota 18: 17
Nota 19: 11
Nota 20: 1
Nota 21: 8
Nota 22: 20
Nota 23: 19
Nota 24: 9
Nota 25: 2
Nota 26: 11
Nota 27: 17
Nota 28: 11
Nota 29: 1
Nota 30: 13
Nota 31: 20
Nota 32: 10
Nota 33: 16
Nota 34: 6
Nota 35: 20
Nota 36: 8
Nota 37: 5
Nota 38: 12
Nota 39: 5
Nota 40: 20
Nota 41: 3
Nota 42: 10
Nota 43: 9
Nota 44: 3
Nota 45: 11
Nota 46: 3
Nota 47: 9
Nota 48: 16
Nota 49: 15
Nota 50: 5
Nota 51: 11
Nota 52: 5
Nota 53: 16
Nota 54: 4
Nota 55: 1
Nota 56: 18
Nota 57: 10
Nota 58: 20
Nota 59: 15
Nota 60: 16

El promedio de las notas es: 10.4
